"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WSF2"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-26","2.68","0.00","67","74","59","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-27","2.68","0.00","75","88","62","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-28","2.91","0.00","74","84","64","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-29","3.36","0.00","71","78","64","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-30","3.58","0.00","69","75","63","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-05-31","2.91","0.00","69","76","62","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-01","3.36","0.00","70","78","62","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-02","3.58","0.00","70","77","62","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-03","3.80","0.00","71","82","60","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-04","2.91","0.00","71","81","60","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-05","2.68","0.00","72","83","60","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-06","3.13","0.00","70","81","59","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-07","3.36","0.00","70","79","61","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-08","4.25","0.00","65","71","58","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-09","2.24","0.00","66","74","58","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-10","3.13","0.00","67","76","58","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-11","3.13","0.00","69","78","59","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-12","2.91","0.00","71","81","60","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-13","3.13","0.00","75","85","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-14","2.91","0.00","72","80","64","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-15","3.80","0.00","72","81","63","12.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-16","3.58","0.00","71","77","64","13.0"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-17","2.91","0.00","71","77","65","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-18","4.03","0.00","70","76","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-19","4.03","0.00","71","78","64","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-20","3.58","0.00","71","78","63","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-21","4.03","0.00","69","76","62","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-22","2.91","0.00","72","79","64","8.9"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-23","3.58","0.00","73","80","66","10.1"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-06-24","3.80","0.00","73","81","65","10.1"
